"id";"prec";"hfp";"forest";"area";"bioreg";"Var1";"Var2";"Ss";"Ce";"Cc";"Vv"
"151";453,657915417915;9,1779797979798;0,123690263051994;77,0651685838279;"3";3235,08213766463;1927,58809413946;168;0;7;106
"152";399,150543478261;10,0325;0;89,8768006375793;"3";3300,49109725463;1886,60279101899;85;0;2;80
"153";524,589285714286;10,9722222222222;0,605258054279623;40,6556168864273;"2";3292,1759366561;1986,80811463174;103;112;27;35
"154";434,897692307692;7,90470723306544;0,147711151210719;135,364949237885;"3";3246,57401316794;2008,04104118935;100;14;22;102
"155";469,527564102564;10,3921568627451;0,031953503341998;27,3212671645019;"3";3247,96017575505;1931,90930740673;38;3;3;15
"156";394,876923076923;14;0,108768932977714;42,6739095833826;"3";3318,95519181542;1896,30448004796;23;0;3;14
"157";452,625861697592;7,82331333557735;0,069978461627542;178,079298381236;"3";3213,23656759471;1942,25387863504;42;0;1;96
"158";469,023255813953;6,7741935483871;0,037686903617172;29,924376808832;"3";3256,15017321461;1990,41248733181;12;0;6;9
"159";416,650505050505;13,4177301586435;0,043231847206495;105,240792088353;"3";3290,02513036292;1896,13825645734;47;0;0;26
"160";461,525468164794;5,44161958568738;0,039343819190255;68,0066307369399;"3";3243,09313396655;1946,58787420619;75;0;2;40
"161";516,633012249189;9,38697916666667;0,296107241332939;68,174305032786;"2";3275,36125789065;1986,64611659865;217;126;55;74
"162";458,456231884058;3,89;0,088689845274753;47,1387858735941;"3";3244,65133229795;1926,61467356131;3;0;0;8
"163";462,557471264368;1,12931034482759;0,568118754365212;77,9201433207966;"2";3322,85882994087;1939,69915354441;70;24;26;20
"164";433,379310344828;2,68421052631579;0,059694007094926;19,5809715144062;"3";3262,75811237919;2015,29286627814;33;5;8;27
"165";502,605016976488;9,05078548644338;0,399682292341872;155,75345824071;"3";3271,95359597768;1963,01777051229;277;48;50;67
"166";462,500888231136;8,41216805472958;0,100000190812648;110,144933391218;"3";3234,63938861376;1942,48748755711;496;22;13;71
"167";520,227272727273;8,66666666666667;0,502155287868597;13,4399172400549;"2";3262,89797256156;1974,24219246576;38;6;10;14
